20:57:25 [Safezone] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o= pos=<8067.164551, 458.862396, 9327.955078>) Entered the safezone
20:57:25 [Expansion Quests] - SetupClientData - Created new persistent player quest data for player UID: z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=
20:57:32 [Market] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=) has send a requested to sell collectable_bitcoin x1 at the trader "Consumeables (Quinn [Consumeables])" in market zone "Altar_Trader" (pos=<8080.000000, 460.000000, 9300.000000>).
20:57:32 [Market] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=) has sold collectable_bitcoin x1 at the trader "Consumeables (Quinn [Consumeables])" in market zone "Altar_Trader" (pos=<8080.000000, 460.000000, 9300.000000>) and got 10500.
20:57:32 [Market] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=) has send a requested to sell collectable_bitcoin x1 at the trader "Consumeables (Quinn [Consumeables])" in market zone "Altar_Trader" (pos=<8080.000000, 460.000000, 9300.000000>).
20:57:33 [Market] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=) has sold collectable_bitcoin x1 at the trader "Consumeables (Quinn [Consumeables])" in market zone "Altar_Trader" (pos=<8080.000000, 460.000000, 9300.000000>) and got 10500.
20:57:33 [Market] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=) has send a requested to sell collectable_bitcoin x1 at the trader "Consumeables (Quinn [Consumeables])" in market zone "Altar_Trader" (pos=<8080.000000, 460.000000, 9300.000000>).
20:57:33 [Market] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=) has sold collectable_bitcoin x1 at the trader "Consumeables (Quinn [Consumeables])" in market zone "Altar_Trader" (pos=<8080.000000, 460.000000, 9300.000000>) and got 10500.
20:57:33 [Market] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=) has send a requested to sell collectable_bitcoin x1 at the trader "Consumeables (Quinn [Consumeables])" in market zone "Altar_Trader" (pos=<8080.000000, 460.000000, 9300.000000>).
20:57:33 [Market] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=) has sold collectable_bitcoin x1 at the trader "Consumeables (Quinn [Consumeables])" in market zone "Altar_Trader" (pos=<8080.000000, 460.000000, 9300.000000>) and got 10500.
20:58:01 [Safezone] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o= pos=<7742.120117, 118.510002, 12617.900391>) Left the safezone
